species_name,biogeog,taxon,class,max_depth,max_length,lat_span_degrees,t_mean,chl_mean,endemism,IUCN,IUCN_category,date_assessed
Haliotis scalaris,warm (temperate),Invertebrate,Gastropoda,50,12,10.97755,17.65159036,1.020757953,endemic,Least Concern,Not applicable,12/08/2020
Heliocidaris erythrogramma,cool (temperate),Invertebrate,Echinoidea,35,9,17.40101,17.40345522,1.046075861,endemic,Not Evaluated,Not applicable,Not Evaluated
Heliocidaris tuberculata,warm (temperate),Invertebrate,Echinoidea,10,11.5,11.72096,20.17214281,0.939631987,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Holopneustes inflatus,cool (temperate),Invertebrate,Echinoidea,30,7,10.7377,15.4142476,1.307533552,endemic,Not Evaluated,Not applicable,Not Evaluated
Holopneustes porosissimus,warm (temperate),Invertebrate,Echinoidea,15,7,10.72651,18.70321196,0.849375768,endemic,Not Evaluated,Not applicable,Not Evaluated
Holopneustes purpurascens,warm (temperate),Invertebrate,Echinoidea,8,6,6.94005,18.73625675,1.308828541,endemic,Not Evaluated,Not applicable,Not Evaluated
Holothuria atra,tropical,Invertebrate,Holothuroidea,30,50,21.65703,25.75731085,0.673250861,non-endemic,Least Concern,Not applicable,18/05/2010
Holothuria leucospilota,tropical,Invertebrate,Holothuroidea,19,50,21.78895,24.70402588,0.725568921,non-endemic,Least Concern,Not applicable,18/05/2010
Holothuria nobilis,tropical,Invertebrate,Holothuroidea,45,60,NA,NA,NA,non-endemic,Endangered,A2bd,18/05/2010
Hypselodoris bennetti,warm (temperate),Invertebrate,Gastropoda,34,6,9.2021,18.96376748,1.078290489,endemic,Not Evaluated,Not applicable,Not Evaluated
Jasus edwardsii,cool (temperate),Invertebrate,Malacostraca,200,46,11.25114,15.61137223,1.11185447,non-endemic,Least Concern,Not applicable,3/12/2009
Linckia guildingi,warm (temperate),Invertebrate,Asteroidea,29,31,21.61256,22.75763153,0.462940869,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Linckia laevigata,tropical,Invertebrate,Asteroidea,60,22,21.66824,26.55818521,0.550026239,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Lunella torquata,warm (temperate),Invertebrate,Gastropoda,20,9.8,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Lunella undulata,cool (temperate),Invertebrate,Gastropoda,10,5,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Mariaglaja inornata,tropical,Invertebrate,Gastropoda,10,3,21.79937,24.80158171,0.428437522,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Melo miltonis,cool (temperate),Invertebrate,Gastropoda,100,45,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Meridiastra gunnii,cool (temperate),Invertebrate,Asteroidea,15,13,12.92075,16.28134235,1.09267353,endemic,Not Evaluated,Not applicable,Not Evaluated
Mitra glabra,warm (temperate),Invertebrate,Gastropoda,20,10.3,10.81135,17.69484848,1.336610178,endemic,Not Evaluated,Not applicable,Not Evaluated
Monoplex parthenopeus,warm (temperate),Invertebrate,Gastropoda,30,15,22.82588,19.21671235,1.152236793,endemic,Not Evaluated,Not applicable,Not Evaluated
Nardoa variolata,tropical,Invertebrate,Asteroidea,14.4,44,2.96649,24.76987046,1.312727552,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Naxia aurita,cool (temperate),Invertebrate,Malacostraca,108,4,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Nectocarcinus integrifrons,cool (temperate),Invertebrate,Malacostraca,20,8,10.42148,16.24274323,1.597097402,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Nectocarcinus tuberculosus,cool (temperate),Invertebrate,Malacostraca,50,9,12.89115,15.82455784,1.092138481,endemic,Not Evaluated,Not applicable,Not Evaluated
Nectria macrobrachia,cool (temperate),Invertebrate,Asteroidea,180,12,9.14886,16.29925938,0.784093512,endemic,Not Evaluated,Not applicable,Not Evaluated
Nectria ocellata,cool (temperate),Invertebrate,Asteroidea,240,26,13.20933,15.61762622,1.08742739,endemic,Not Evaluated,Not applicable,Not Evaluated
Nectria pedicelligera,cool (temperate),Invertebrate,Asteroidea,240,15,11.28717,16.31018067,0.999445587,endemic,Not Evaluated,Not applicable,Not Evaluated
Octopus cyanea,tropical,Invertebrate,Cephalopoda,60,80,NA,NA,NA,non-endemic,Least Concern,Not applicable,8/04/2014
Octopus tetricus,warm (temperate),Invertebrate,Cephalopoda,30,80,13.21575,19.89567249,1.158697262,endemic,Least Concern,Not applicable,8/04/2016
Ophidiaster confertus,warm (temperate),Invertebrate,Asteroidea,50,30,7.67351,21.82643013,0.737491333,endemic,Not Evaluated,Not applicable,Not Evaluated
Paguristes frontalis,cool (temperate),Invertebrate,Malacostraca,8,8,10.83326,17.04347517,0.901243415,endemic,Not Evaluated,Not applicable,Not Evaluated
Paguristes purpureantennatus,warm (temperate),Invertebrate,Malacostraca,10,8,8.19657,20.91722445,1.082625506,endemic,Not Evaluated,Not applicable,Not Evaluated
Pagurus sinuatus,warm (temperate),Invertebrate,Malacostraca,20,6,6.98395,20.75132949,0.979437411,endemic,Not Evaluated,Not applicable,Not Evaluated
Panulirus cygnus,warm (temperate),Invertebrate,Malacostraca,180,40,12.19367,20.77835314,0.803681045,endemic,Least Concern,Not applicable,3/12/2009
Panulirus longipes,warm (temperate),Invertebrate,Malacostraca,122,30,10.77966,21.94377465,0.296505217,non-endemic,Least Concern,Not applicable,3/12/2009
Patelloida alticostata,cool (temperate),Invertebrate,Gastropoda,3,5.6,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Penion mandarinus,cool (temperate),Invertebrate,Gastropoda,600,18,9.58702,15.47415504,1.290984022,endemic,Not Evaluated,Not applicable,Not Evaluated
Pentagonaster duebeni,cool (temperate),Invertebrate,Asteroidea,160,8,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Petricia vernicina,cool (temperate),Invertebrate,Asteroidea,60,18,31.33811,16.9613051,0.949830271,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Phasianella australis,cool (temperate),Invertebrate,Gastropoda,5,10,10.96618,16.33583819,1.299971077,endemic,Not Evaluated,Not applicable,Not Evaluated
Phasianella ventricosa,cool (temperate),Invertebrate,Gastropoda,6,4.9,12.43007,16.695604,0.983696616,endemic,Not Evaluated,Not applicable,Not Evaluated
Phasianotrochus eximius,cool (temperate),Invertebrate,Gastropoda,8,4,13.06844,16.16305247,1.235602804,endemic,Not Evaluated,Not applicable,Not Evaluated
Phlyctenactis tuberculosa,cool (temperate),Invertebrate,Anthozoa,10,25,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Phyllacanthus irregularis,warm (temperate),Invertebrate,Echinoidea,20,11,6.90117,19.02117242,0.635965758,endemic,Not Evaluated,Not applicable,Not Evaluated
Phyllacanthus parvispinus,warm (temperate),Invertebrate,Echinoidea,80,9,11.69039,20.17711827,1.055366548,endemic,Not Evaluated,Not applicable,Not Evaluated
Phyllidiella pustulosa,tropical,Invertebrate,Gastropoda,12,4.5,25.20933,25.25057917,0.626464549,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Pinna bicolor,tropical,Invertebrate,Bivalvia,50,50,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Plectaster decanus,warm (temperate),Invertebrate,Asteroidea,200,24,12.2691,17.58354504,0.908278617,endemic,Not Evaluated,Not applicable,Not Evaluated
Pleuroploca australasia,cool (temperate),Invertebrate,Gastropoda,100,15,13.4235,16.22455431,1.126802765,endemic,Not Evaluated,Not applicable,Not Evaluated
Prionocidaris callista,warm (temperate),Invertebrate,Echinoidea,275,7,10.81627,21.72002992,0.70555255,endemic,Not Evaluated,Not applicable,Not Evaluated
Prothalotia lehmanni,cool (temperate),Invertebrate,Gastropoda,25,2,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Pseudoboletia indiana,warm (temperate),Invertebrate,Echinoidea,100,10,8.46328,20.51149454,1.108445491,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Pseudonepanthia troughtoni,cool (temperate),Invertebrate,Asteroidea,70,14,10.55276,16.73153545,0.76830983,endemic,Not Evaluated,Not applicable,Not Evaluated
Pteraeolidia ianthina,warm (temperate),Invertebrate,Gastropoda,35,15,28.0495,20.18195051,0.914276085,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Pterochelus triformis,cool (temperate),Invertebrate,Gastropoda,30,6,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Ranella australasia,warm (temperate),Invertebrate,Gastropoda,200,11,15.0287,18.30167497,1.072887981,endemic,Not Evaluated,Not applicable,Not Evaluated
Rhinoclavis bituberculata,warm (temperate),Invertebrate,Gastropoda,12,6,13.39538,21.32399972,0.607157328,endemic,Not Evaluated,Not applicable,Not Evaluated
Rhynchocinetes serratus,warm (temperate),Invertebrate,Malacostraca,20,6,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Sagaminopteron ornatum,cool (temperate),Invertebrate,Gastropoda,20,2.5,13.10881,17.56229425,0.8418145,non-endemic,Not Evaluated,Not applicable,Not Evaluated
