site_code,latitude,longitude
JMP-S38,-30.79918,115.18695
KG-S1,-39.44067,147.2971
KG-S10,-39.443659999999994,147.28526000000002
KG-S12,-39.449,147.30203
KG-S13,-39.44478,147.30122
KG-S14,-39.453990000000005,147.32967
KG-S15,-39.49295,147.34215
KG-S16,-39.47374,147.35158
KG-S17,-39.4653,147.28708
KG-S18,-39.48049,146.6454
KG-S20,-39.22592,146.97951
KG-S21,-39.21917,146.99239
KG-S22,-39.213840000000005,147.02143999999998
KG-S23,-39.21515,146.99239
KG-S25,-39.21909,146.99556
KG-S3,-39.45989,147.34656
KG-S4,-39.46457,147.29466000000002
KG-S4,-39.46457,147.29466
KG-S7,-39.49496,147.33053999999998
KG-S7,-39.49496,147.33054
KG-S8,-39.44677,147.37743999999998
KG-S9,-39.44352,147.27727
MIR-S15,-42.6258,147.93912
MIR-S17,-42.66368,148.11461
MIR-S18,-42.41202,148.16177
MIR-S8,-42.58626,148.0519
MP-S1,-38.51755,145.10992
MP-S2,-38.52553,145.21198
MP-S3,-38.52877,145.22278
MP-S4,-38.55878,145.34083
MP-S5,-38.56658,145.35863999999998
MP-S6,-38.565059999999995,145.36168999999998
NCMP-S2,-33.530429999999996,115.01975
NIN-S3,-43.27291,147.14343
NSW12,-34.59816,150.90116
NSW13,-33.4465,151.44971
NSW19,-35.504740000000005,150.39611000000002
NSW19,-35.50474,150.39611
PD-S10,-43.32266,145.98623999999998
PD-S11,-43.29901,145.92647
PD-S12,-43.30981,145.84243999999998
PD-S12,-43.30981,145.84244
PD-S13,-43.30933,145.84277
PD-S14,-43.303340000000006,145.91718999999998
PD-S14,-43.30334,145.91719
PD-S15,-43.30415,145.84673
PD-S16,-43.29728,145.81933999999998
PD-S17,-43.31243,145.89661
PD-S21,-43.42177,145.96962
PD-S23,-43.30252,145.90285
PD-S25,-43.291129999999995,145.92278000000002
PD-S26,-43.297110000000004,145.92377
PD-S4,-43.416509999999995,145.97241
PPB16,-38.11138,144.66488
PPB16,-38.11138153,144.6648865
PPB48,-38.226409999999994,145.02521000000002
PPB48,-38.22641,145.02521
PPB53,-38.3573,144.77369
PPH-S11,-38.28537,144.6275
PPH-S12,-38.2767,144.69762
PPH-S13,-38.29667,144.61299
PPH-S14,-38.2902,144.58882
PPH-S15,-38.294059999999995,144.59827
PPH-S15,-38.29406,144.59827
PPH-S17,-38.28473,144.63653
PPH-S18,-38.29462,144.61027
PPH-S2,-38.30208,144.65868999999998
PPH-S2,-38.30208,144.65869
PPH-S6,-38.28017,144.62507
PPH23,-38.309540000000005,144.71446
PPH23,-38.30954,144.71446
PPH38,-38.27772,144.62365
PPH40,-38.27462,144.64918
PS1,-32.59917,152.32404
PS10,-32.747820000000004,152.17318
PS18,-32.71161,152.18483
PS2,-32.6183,152.33433
PS24,-32.68705,152.22834
PS27,-32.7892,152.1125
PS29,-32.78755,152.11426
PS6,-32.61527,152.32665
RC-S1,-40.8905,145.53636
RC-S2,-40.9155,145.58836000000002
RC-S5,-40.8585,145.51636000000002
RC-S5,-40.8585,145.51636
RI21,-31.9885,115.54113999999998
RI21,-31.9885,115.54114
RI3,-32.01805,115.4523
RI5,-32.02498,115.54514
SYD12,-34.069990000000004,151.15745
SYD12,-34.06999,151.15745
SYD18,-33.99276,151.2304
SYD19,-33.99293,151.23183999999998
SYD19,-33.99293,151.23184
SYD20,-33.99142,151.23078
SYD23,-33.9165,151.2645
SYD24,-33.915890000000005,151.26877
SYD24,-33.91589,151.26877
SYD29,-33.84282,151.28583999999998
SYD29,-33.84282,151.28584
SYD34,-33.83931,151.27774
SYD36,-33.833040000000004,151.27898000000002
SYD36,-33.83304,151.27898
SYD37,-33.83036,151.26378
SYD50,-33.800470000000004,151.29531
SYD50,-33.80047,151.29531
SYD58,-34.00254,151.22562
TAS105,-42.95965,148.00566
TAS109,-43.06577,147.95526
TAS120,-43.129540000000006,147.96036999999998
TAS120,-43.12954,147.96037
TAS145,-43.52525,146.99608999999998
TAS145,-43.52525,146.99609
TAS161,-43.18762,147.41248
TAS167,-43.13064,147.96057
TAS210,-42.97053,147.98836
TAS28,-43.13808,147.86505
TAS343,-40.904045000000004,145.57828999999998
TAS343,-40.904045000000004,145.57829
TAS347,-40.89886,144.64969
TAS348,-40.89663,145.5407
TAS351,-40.88964,145.53734
TAS355,-40.85407,145.49712
TAS397,-39.70147,147.9393
TAS404,-39.22445,146.99438
TAS48,-43.06085,147.94791
TAS79,-42.89809,147.66898999999998
TAS79,-42.89809,147.66899
TI-S3,-43.038340000000005,147.33893999999998
TN-S10,-40.77848,147.64133
TN-S5,-40.9245,145.61935
TN-S7,-40.82248,147.62833
TN-S9,-40.796479999999995,147.62633
TNE-S1,-42.29524,148.27636999999999
TNE-S3,-41.246390000000005,148.31609
VIC25,-38.675270000000005,145.66058999999998
VIC26,-38.66037,145.68796
VIC27,-38.675990000000006,145.64241
VIC28,-38.67625,145.62087
VIC9,-37.88847,147.96752
WP-S1,-38.96444,146.22829
WP-S11,-39.10235,146.33379
WP-S12,-39.1118,146.34249
WP-S13,-39.13518,146.31942
WP-S15,-39.13009,146.3826
WP-S17,-39.124109999999995,146.42387
WP-S17,-39.12411,146.42387
WP-S18,-39.11309,146.43034
WP-S19,-39.087709999999994,146.44073
WP-S2,-38.99016,146.25499
WP-S20,-39.06275,146.44501
WP-S21,-39.0642,146.46935
WP-S22,-39.05564,146.48297
WP-S23,-39.05215,146.47537
WP-S24,-39.04566,146.47821000000002
WP-S24,-39.04566,146.47821
WP-S25,-39.0361,146.47044
WP-S27,-39.0249,146.47135
WP-S4,-39.02462,146.24175
WP-S5,-39.023309999999995,146.2839
WP-S6,-39.0396,146.30469
WP-S7,-39.05397,146.3206
WP-S8,-39.07594,146.32468
WP-S9,-39.083870000000005,146.23468
WP-S9,-39.08387,146.23468
BMP-S10,-35.75012,150.26203999999998
BMP-S10,-35.75012,150.26204
BMP-S23,-35.77133,150.23296000000002
BMP-S23,-35.77133,150.23296
BMP-S24,-36.011520000000004,150.16517
BMP-S24,-36.01152,150.16517
BMP-S33,-36.26173,150.15152
BMP-S36,-35.71223,150.27862
BMP-S37,-35.862140000000004,150.18729
BMP-S37,-35.86214,150.18729
BMP1,-35.8259,150.22657
BMP25,-36.13559,150.12916
BMP30,-35.90916,150.16253
BMP7,-36.09226,150.14688
PS16,-32.71515,152.15036
PS28,-32.78852,152.08338
PS31,-32.68916,152.22723
PS35,-32.68551,152.22243999999998
PS35,-32.68551,152.22244
PS38,-32.74499,152.20363999999998
PS4,-32.74057,152.19493
PS41,-32.708,152.225
SYD39,-33.8241,151.2972
VIC37,-38.40995,144.23529
CS185,-10.44533,144.44918
CS188,-10.44121,144.43016
CS191,-10.37448,144.53391000000002
CS191,-10.37448,144.53391
CS4,-19.23026,152.32594
CS7,-19.1254,152.38808999999998
CS7,-19.1254,152.38809
GBR208,-16.73186,146.26677
GBR209,-16.7296,146.2678
GBR229,-14.65528,145.45049
GBR24,-19.81261,149.13291999999998
GBR24,-19.81261,149.13292
BMP-S13,-35.85507,150.19207
BMP-S16,-35.816720000000004,150.2343
BMP-S21,-35.80019,150.2369
BMP-S26,-35.99157,150.15918
BMP-S28,-35.69019,150.29785999999999
BMP24,-35.830020000000005,150.2319
BMP24,-35.83002,150.2319
BMP28,-35.801829999999995,150.23382
BMP28,-35.80183,150.23382
PS26,-32.7901,152.09246000000002
SI4,-30.20167,153.26635
SYD14,-34.06915,151.12998000000002
SYD14,-34.06915,151.12998
SYD28,-33.8497,151.26734
SYD30,-33.84166,151.25396999999998
SYD30,-33.84166,151.25397
SYD32,-33.83975,151.2535
SYD41,-33.8214,151.2903
SYD45,-33.81322,151.27238
CS186,-10.43422,144.45243
CS3,-19.28476,152.22077
CS31,-22.17677,155.47404
CS32,-22.17306,155.47695
CS38,-22.18586,155.35576
CS54,-21.25066,155.75829
CS55,-21.2535,155.76086
CS56,-21.248,155.76361
CS57,-21.24541,155.76497
CS58,-21.19993,155.76575
CS6,-19.25796,152.34184
CS60,-21.202820000000003,155.77281000000002
CS60,-21.20282,155.77281
CS8,-19.09532,152.38714
CS33,-22.16356,155.45378
CS61,-21.20865,155.76981999999998
CS61,-21.20865,155.76982
LHI16,-31.53915,159.05341
LHI19,-31.504140000000003,159.06679
LHI19,-31.50414,159.06679
LHI32,-31.75067,159.23682
LHI34,-31.5134,159.06903
LHI39,-31.52794,159.04575
LHI48,-31.51139,159.05416
LHI9,-31.49935,159.06493999999998
LHI9,-31.49935,159.06494
NMP2,-23.12142,113.75562
NMP27,-23.13496,113.7404
CS39,-22.18985,155.35547
CS5,-19.25323,152.3482
LHI1,-31.52379,159.03913
LHI10,-31.50197,159.06513
LHI11,-31.58355,159.06596000000002
LHI11,-31.58355,159.06596
LHI13,-31.57082,159.06824
LHI14,-31.56235,159.06843
LHI15,-31.56469,159.07015
LHI17,-31.522890000000004,159.04013999999998
LHI17,-31.52289,159.04014
LHI2,-31.52352,159.04141
LHI23,-31.55782,159.09852
LHI30,-31.510590000000004,159.0556
LHI30,-31.51059,159.0556
LHI31,-31.756359999999997,159.23627
LHI31,-31.75636,159.23627
SI23,-29.9251,153.38679
SI25,-30.15196,153.22807
SI8,-30.207009999999997,153.26527
SI8,-30.20701,153.26527
BMP-S30,-36.2485,150.22827
