"site_code","survey_year","species_name","percent_cover","sqrt_pcover","latitude","longitude","n_sites_byspp","n_obs_byspp","transect_id","n_site_species"
"LHI41",2018,"Porites heronensis",1,1,-32,159,6,134,"LHI41_2018",6
"LHI41",2018,"Stylophora pistillata",1,1,-32,159,6,576,"LHI41_2018",6
"LHI18",2018,"Isopora cuneata",17.65,4.20119030752,-31,159,5,139,"LHI18_2018",5
"LHI18",2018,"Astrea curta",0,0,NA,NA,5,207,"LHI18_2018",5
"LHI49",2018,"Isopora cuneata",2.33333333333333,1.52752523165195,-32,159,6,139,"LHI49_2018",6
"LHI49",2018,"Pocillopora damicornis",1.6,1.26491106406735,-32,159,6,459,"LHI49_2018",6
"LHI49",2018,"Stylophora pistillata",0,0,NA,NA,6,576,"LHI49_2018",6
"LHI49",2018,"Porites heronensis",1,1,-32,159,6,134,"LHI49_2018",6
"LHI49",2018,"Acropora glauca",1,1,-32,159,6,98,"LHI49_2018",6
"LHI49",2018,"Seriatopora caliendrum",3,1.73205080756888,-32,159,6,212,"LHI49_2018",6
"SI6",2010,"Acropora glauca",7.3,2.70185121722126,-30,153,4,98,"SI6_2010",4
"SI6",2010,"Goniastrea australensis",7.3,2.70185121722126,-30,153,4,154,"SI6_2010",4
"SI6",2010,"Turbinaria mesenterina",2.1,1.44913767461894,-30,153,4,72,"SI6_2010",4
"LHI14",2009,"Pocillopora damicornis",1.9,1.37840487520902,-32,159,6,459,"LHI14_2009",6
"LHI14",2010,"Pocillopora damicornis",1,1,-32,159,6,459,"LHI14_2010",6
"LHI15",2009,"Pocillopora damicornis",3,1.73205080756888,-32,159,5,459,"LHI15_2009",5
"LHI15",2009,"Porites heronensis",6,2.44948974278318,-32,159,5,134,"LHI15_2009",5
"LHI15",2010,"Pocillopora damicornis",1.1,1.04880884817015,-32,159,5,459,"LHI15_2010",5
"LHI15",2010,"Porites heronensis",1.1,1.04880884817015,-32,159,5,134,"LHI15_2010",5
"LHI18",2009,"Isopora cuneata",18.9,4.34741302385683,-31,159,5,139,"LHI18_2009",5
"LHI18",2009,"Astrea curta",1.1,1.04880884817015,-31,159,5,207,"LHI18_2009",5
"LHI18",2010,"Isopora cuneata",18.9,4.34741302385683,-31,159,5,139,"LHI18_2010",5
